model,mae,rmse,r2,n,seconds
seasonal_naive,14.9829,20.1003,-3.0101,175,0.1
gradient_boosting,6.9928,8.9750,0.2005,175,0.6
lstm_only,6.5378,8.1638,0.1044,140,2.5
stgnn,6.8967,9.3102,-0.1648,3426050,264.0
