Date,Kabupaten,Longitude,Latitude,NDVI
2025-09-30,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.0175
2025-10-16,KAB BANTUL,110.2862991,-7.902328,0.0181
2025-10-16,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.0181
2025-10-16,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2025-10-16,KAB SLEMAN,110.3812751,-7.689718,0.020900000000000002
2025-10-16,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.0166
2025-11-01,KAB BANTUL,110.2862991,-7.902328,0.0204
2025-11-01,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.0204
2025-11-01,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2025-11-01,KAB SLEMAN,110.3812751,-7.689718,0.0194
2025-11-01,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.0172
2025-11-17,KAB BANTUL,110.2862991,-7.902328,0.0227
2025-11-17,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.0227
2025-11-17,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2025-11-17,KAB SLEMAN,110.3812751,-7.689718,0.0216
2025-11-17,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.0162
2025-12-03,KAB BANTUL,110.2862991,-7.902328,0.020200000000000003
2025-12-03,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.020200000000000003
2025-12-03,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2025-12-03,KAB SLEMAN,110.3812751,-7.689718,0.022600000000000002
2025-12-03,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.0194
2025-12-19,KAB BANTUL,110.2862991,-7.902328,0.0206
2025-12-19,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.0206
2025-12-19,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2025-12-19,KAB SLEMAN,110.3812751,-7.689718,0.0207
2025-12-19,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.0188
2026-01-01,KAB BANTUL,110.2862991,-7.902328,0.0206
2026-01-01,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.0206
2026-01-01,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2026-01-01,KAB SLEMAN,110.3812751,-7.689718,0.0228
2026-01-01,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.0199
2026-01-17,KAB BANTUL,110.2862991,-7.902328,0.0212
2026-01-17,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.0212
2026-01-17,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2026-01-17,KAB SLEMAN,110.3812751,-7.689718,0.0221
2026-01-17,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.019100000000000002
2026-02-02,KAB BANTUL,110.2862991,-7.902328,0.0206
2026-02-02,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.0206
2026-02-02,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2026-02-02,KAB SLEMAN,110.3812751,-7.689718,0.0224
2026-02-02,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.0227
