Year,Month,Region,Cases,Data_Source,Notes
2022,11,KAB BANTUL,81,historical_2021_2024,
2022,11,KAB GUNUNG KIDUL,9,historical_2021_2024,
2022,11,KAB KULON PROGO,25,historical_2021_2024,
2022,11,KAB SLEMAN,46,historical_2021_2024,
2022,11,KOTA YOGYAKARTA,12,historical_2021_2024,
2022,12,KAB BANTUL,63,historical_2021_2024,
2022,12,KAB GUNUNG KIDUL,3,historical_2021_2024,
2022,12,KAB KULON PROGO,20,historical_2021_2024,
2022,12,KAB SLEMAN,46,historical_2021_2024,
2022,12,KOTA YOGYAKARTA,9,historical_2021_2024,
2023,1,KAB BANTUL,94,historical_2021_2024,
2023,1,KAB GUNUNG KIDUL,11,historical_2021_2024,
2023,1,KAB KULON PROGO,31,historical_2021_2024,
2023,1,KAB SLEMAN,75,historical_2021_2024,
2023,1,KOTA YOGYAKARTA,13,historical_2021_2024,
2023,2,KAB BANTUL,58,historical_2021_2024,
2023,2,KAB GUNUNG KIDUL,8,historical_2021_2024,
2023,2,KAB KULON PROGO,14,historical_2021_2024,
2023,2,KAB SLEMAN,31,historical_2021_2024,
2023,2,KOTA YOGYAKARTA,11,historical_2021_2024,
2023,3,KAB BANTUL,37,historical_2021_2024,
2023,3,KAB GUNUNG KIDUL,2,historical_2021_2024,
2023,3,KAB KULON PROGO,26,historical_2021_2024,
2023,3,KAB SLEMAN,35,historical_2021_2024,
2023,3,KOTA YOGYAKARTA,6,historical_2021_2024,
2023,4,KAB BANTUL,29,historical_2021_2024,
2023,4,KAB GUNUNG KIDUL,10,historical_2021_2024,
2023,4,KAB KULON PROGO,8,historical_2021_2024,
2023,4,KAB SLEMAN,46,historical_2021_2024,
2023,4,KOTA YOGYAKARTA,7,historical_2021_2024,
2023,5,KAB BANTUL,28,historical_2021_2024,
2023,5,KAB GUNUNG KIDUL,13,historical_2021_2024,
2023,5,KAB KULON PROGO,17,historical_2021_2024,
2023,5,KAB SLEMAN,42,historical_2021_2024,
2023,5,KOTA YOGYAKARTA,9,historical_2021_2024,
2023,6,KAB BANTUL,13,historical_2021_2024,
2023,6,KAB GUNUNG KIDUL,2,historical_2021_2024,
2023,6,KAB KULON PROGO,8,historical_2021_2024,
2023,6,KAB SLEMAN,37,historical_2021_2024,
2023,6,KOTA YOGYAKARTA,5,historical_2021_2024,
2023,7,KAB BANTUL,54,historical_2021_2024,
2023,7,KAB GUNUNG KIDUL,12,historical_2021_2024,
2023,7,KAB KULON PROGO,18,historical_2021_2024,
2023,7,KAB SLEMAN,39,historical_2021_2024,
2023,7,KOTA YOGYAKARTA,6,historical_2021_2024,
2023,8,KAB BANTUL,26,historical_2021_2024,
2023,8,KAB GUNUNG KIDUL,8,historical_2021_2024,
2023,8,KAB KULON PROGO,11,historical_2021_2024,
2023,8,KAB SLEMAN,31,historical_2021_2024,
2023,8,KOTA YOGYAKARTA,5,historical_2021_2024,
2023,9,KAB BANTUL,37,historical_2021_2024,
2023,9,KAB GUNUNG KIDUL,8,historical_2021_2024,
2023,9,KAB KULON PROGO,10,historical_2021_2024,
2023,9,KAB SLEMAN,44,historical_2021_2024,
2023,9,KOTA YOGYAKARTA,16,historical_2021_2024,
2023,10,KAB BANTUL,46,historical_2021_2024,
2023,10,KAB GUNUNG KIDUL,6,historical_2021_2024,
2023,10,KAB KULON PROGO,16,historical_2021_2024,
2023,10,KAB SLEMAN,59,historical_2021_2024,
2023,10,KOTA YOGYAKARTA,11,historical_2021_2024,
2023,11,KAB BANTUL,70,historical_2021_2024,
2023,11,KAB GUNUNG KIDUL,7,historical_2021_2024,
2023,11,KAB KULON PROGO,14,historical_2021_2024,
2023,11,KAB SLEMAN,51,historical_2021_2024,
2023,11,KOTA YOGYAKARTA,23,historical_2021_2024,
2023,12,KAB BANTUL,20,historical_2021_2024,
2023,12,KAB GUNUNG KIDUL,8,historical_2021_2024,
2023,12,KAB KULON PROGO,16,historical_2021_2024,
2023,12,KAB SLEMAN,24,historical_2021_2024,
2023,12,KOTA YOGYAKARTA,5,historical_2021_2024,
2024,1,KAB BANTUL,59,historical_2021_2024,
2024,1,KAB GUNUNG KIDUL,89,historical_2021_2024,
2024,1,KAB KULON PROGO,49,historical_2021_2024,
2024,1,KAB SLEMAN,108,historical_2021_2024,
2024,1,KOTA YOGYAKARTA,7,historical_2021_2024,
2024,2,KAB BANTUL,88,historical_2021_2024,
2024,2,KAB GUNUNG KIDUL,158,historical_2021_2024,
2024,2,KAB KULON PROGO,78,historical_2021_2024,
2024,2,KAB SLEMAN,125,historical_2021_2024,
2024,2,KOTA YOGYAKARTA,19,historical_2021_2024,
2024,3,KAB BANTUL,107,historical_2021_2024,
2024,3,KAB GUNUNG KIDUL,222,historical_2021_2024,
2024,3,KAB KULON PROGO,105,historical_2021_2024,
2024,3,KAB SLEMAN,137,historical_2021_2024,
2024,3,KOTA YOGYAKARTA,27,historical_2021_2024,
2024,4,KAB BANTUL,135,historical_2021_2024,
2024,4,KAB GUNUNG KIDUL,158,historical_2021_2024,
2024,4,KAB KULON PROGO,160,historical_2021_2024,
2024,4,KAB SLEMAN,263,historical_2021_2024,
2024,4,KOTA YOGYAKARTA,37,historical_2021_2024,
2024,5,KAB BANTUL,116,historical_2021_2024,
2024,5,KAB GUNUNG KIDUL,163,historical_2021_2024,
2024,5,KAB KULON PROGO,223,historical_2021_2024,
2024,5,KAB SLEMAN,259,historical_2021_2024,
2024,5,KOTA YOGYAKARTA,10,historical_2021_2024,
