Year,Region,Week,Cases,Latitude,Longitude
2025,KAB GUNUNG KIDUL,50,10,-7.9930685,110.2704459
2025,KAB GUNUNG KIDUL,51,13,-7.9930685,110.2704459
2025,KAB GUNUNG KIDUL,52,4,-7.9930685,110.2704459
2025,KAB KULON PROGO,1,109,-7.8124619,109.9789867
2025,KAB KULON PROGO,2,133,-7.8124619,109.9789867
2025,KAB KULON PROGO,3,121,-7.8124619,109.9789867
2025,KAB KULON PROGO,4,105,-7.8124619,109.9789867
2025,KAB KULON PROGO,5,107,-7.8124619,109.9789867
2025,KAB KULON PROGO,6,118,-7.8124619,109.9789867
2025,KAB KULON PROGO,7,111,-7.8124619,109.9789867
2025,KAB KULON PROGO,8,66,-7.8124619,109.9789867
2025,KAB KULON PROGO,9,81,-7.8124619,109.9789867
2025,KAB KULON PROGO,10,78,-7.8124619,109.9789867
2025,KAB KULON PROGO,11,66,-7.8124619,109.9789867
2025,KAB KULON PROGO,12,68,-7.8124619,109.9789867
2025,KAB KULON PROGO,13,31,-7.8124619,109.9789867
2025,KAB KULON PROGO,14,38,-7.8124619,109.9789867
2025,KAB KULON PROGO,15,52,-7.8124619,109.9789867
2025,KAB KULON PROGO,16,48,-7.8124619,109.9789867
2025,KAB KULON PROGO,17,29,-7.8124619,109.9789867
2025,KAB KULON PROGO,18,52,-7.8124619,109.9789867
2025,KAB KULON PROGO,19,38,-7.8124619,109.9789867
2025,KAB KULON PROGO,20,30,-7.8124619,109.9789867
2025,KAB KULON PROGO,21,36,-7.8124619,109.9789867
2025,KAB KULON PROGO,22,49,-7.8124619,109.9789867
2025,KAB KULON PROGO,23,28,-7.8124619,109.9789867
2025,KAB KULON PROGO,24,27,-7.8124619,109.9789867
2025,KAB KULON PROGO,25,27,-7.8124619,109.9789867
2025,KAB KULON PROGO,26,18,-7.8124619,109.9789867
2025,KAB KULON PROGO,27,26,-7.8124619,109.9789867
2025,KAB KULON PROGO,28,20,-7.8124619,109.9789867
2025,KAB KULON PROGO,29,18,-7.8124619,109.9789867
2025,KAB KULON PROGO,30,22,-7.8124619,109.9789867
2025,KAB KULON PROGO,31,18,-7.8124619,109.9789867
2025,KAB KULON PROGO,32,22,-7.8124619,109.9789867
2025,KAB KULON PROGO,33,16,-7.8124619,109.9789867
2025,KAB KULON PROGO,34,19,-7.8124619,109.9789867
2025,KAB KULON PROGO,35,17,-7.8124619,109.9789867
2025,KAB KULON PROGO,36,15,-7.8124619,109.9789867
2025,KAB KULON PROGO,37,12,-7.8124619,109.9789867
2025,KAB KULON PROGO,38,10,-7.8124619,109.9789867
2025,KAB KULON PROGO,39,10,-7.8124619,109.9789867
2025,KAB KULON PROGO,40,11,-7.8124619,109.9789867
2025,KAB KULON PROGO,41,16,-7.8124619,109.9789867
2025,KAB KULON PROGO,42,12,-7.8124619,109.9789867
2025,KAB KULON PROGO,43,22,-7.8124619,109.9789867
2025,KAB KULON PROGO,44,12,-7.8124619,109.9789867
2025,KAB KULON PROGO,45,8,-7.8124619,109.9789867
2025,KAB KULON PROGO,46,12,-7.8124619,109.9789867
2025,KAB KULON PROGO,47,9,-7.8124619,109.9789867
2025,KAB KULON PROGO,48,8,-7.8124619,109.9789867
2025,KAB KULON PROGO,49,9,-7.8124619,109.9789867
2025,KAB KULON PROGO,50,14,-7.8124619,109.9789867
2025,KAB KULON PROGO,51,12,-7.8124619,109.9789867
2025,KAB KULON PROGO,52,9,-7.8124619,109.9789867
2025,KAB SLEMAN,1,40,-7.689718,110.3812751
2025,KAB SLEMAN,2,64,-7.689718,110.3812751
2025,KAB SLEMAN,3,70,-7.689718,110.3812751
2025,KAB SLEMAN,4,61,-7.689718,110.3812751
2025,KAB SLEMAN,5,38,-7.689718,110.3812751
2025,KAB SLEMAN,6,79,-7.689718,110.3812751
2025,KAB SLEMAN,7,77,-7.689718,110.3812751
2025,KAB SLEMAN,8,54,-7.689718,110.3812751
2025,KAB SLEMAN,9,59,-7.689718,110.3812751
2025,KAB SLEMAN,10,49,-7.689718,110.3812751
2025,KAB SLEMAN,11,37,-7.689718,110.3812751
2025,KAB SLEMAN,12,31,-7.689718,110.3812751
2025,KAB SLEMAN,13,18,-7.689718,110.3812751
2025,KAB SLEMAN,14,20,-7.689718,110.3812751
2025,KAB SLEMAN,15,65,-7.689718,110.3812751
2025,KAB SLEMAN,16,48,-7.689718,110.3812751
2025,KAB SLEMAN,17,27,-7.689718,110.3812751
2025,KAB SLEMAN,18,21,-7.689718,110.3812751
2025,KAB SLEMAN,19,29,-7.689718,110.3812751
2025,KAB SLEMAN,20,23,-7.689718,110.3812751
2025,KAB SLEMAN,21,31,-7.689718,110.3812751
2025,KAB SLEMAN,22,28,-7.689718,110.3812751
2025,KAB SLEMAN,23,36,-7.689718,110.3812751
2025,KAB SLEMAN,24,44,-7.689718,110.3812751
2025,KAB SLEMAN,25,29,-7.689718,110.3812751
2025,KAB SLEMAN,26,32,-7.689718,110.3812751
2025,KAB SLEMAN,27,33,-7.689718,110.3812751
2025,KAB SLEMAN,28,31,-7.689718,110.3812751
2025,KAB SLEMAN,29,40,-7.689718,110.3812751
2025,KAB SLEMAN,30,35,-7.689718,110.3812751
2025,KAB SLEMAN,31,28,-7.689718,110.3812751
2025,KAB SLEMAN,32,22,-7.689718,110.3812751
2025,KAB SLEMAN,33,32,-7.689718,110.3812751
2025,KAB SLEMAN,34,26,-7.689718,110.3812751
2025,KAB SLEMAN,35,23,-7.689718,110.3812751
2025,KAB SLEMAN,36,31,-7.689718,110.3812751
2025,KAB SLEMAN,37,19,-7.689718,110.3812751
2025,KAB SLEMAN,38,28,-7.689718,110.3812751
2025,KAB SLEMAN,39,29,-7.689718,110.3812751
2025,KAB SLEMAN,40,23,-7.689718,110.3812751
2025,KAB SLEMAN,41,32,-7.689718,110.3812751
2025,KAB SLEMAN,42,18,-7.689718,110.3812751
2025,KAB SLEMAN,43,16,-7.689718,110.3812751
2025,KAB SLEMAN,44,22,-7.689718,110.3812751
2025,KAB SLEMAN,45,23,-7.689718,110.3812751
2025,KAB SLEMAN,46,13,-7.689718,110.3812751
2025,KAB SLEMAN,47,14,-7.689718,110.3812751
2025,KAB SLEMAN,48,15,-7.689718,110.3812751
2025,KAB SLEMAN,49,10,-7.689718,110.3812751
2025,KAB SLEMAN,50,18,-7.689718,110.3812751
2025,KAB SLEMAN,51,24,-7.689718,110.3812751
2025,KAB SLEMAN,52,12,-7.689718,110.3812751
2025,KOTA YOGYAKARTA,1,10,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,2,19,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,3,13,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,4,15,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,5,7,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,6,5,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,7,8,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,8,6,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,9,7,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,10,2,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,11,2,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,12,2,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,13,5,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,14,4,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,15,3,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,16,4,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,17,8,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,18,3,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,19,4,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,20,3,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,21,3,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,22,7,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,23,6,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,24,10,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,25,9,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,26,11,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,27,6,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,28,6,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,29,5,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,30,6,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,31,7,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,32,3,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,33,6,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,34,5,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,35,3,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,36,5,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,37,4,-7.8239138,110.3479391
2025,KOTA YOGYAKARTA,38,6,-7.8239138,110.3479391
